"filename", "language", "Rust", "Markdown", "comment", "blank", "total"
"/home/thomas/Desktop/coursework-bobbobdude/README.md", "Markdown", 0, 1010, 0, 2, 1012
"/home/thomas/Desktop/coursework-bobbobdude/sim/src/cache.rs", "Rust", 151, 0, 2, 33, 186
"/home/thomas/Desktop/coursework-bobbobdude/sim/src/main.rs", "Rust", 276, 0, 7, 74, 357
"Total", "-", 427, 1010, 9, 109, 1555
